"STU_ID","X1SES","X1MTHEFF","X1TXMTSCOR","X3TGPAMAT"
"10001",1.5644,0.95,59.371,3
"10002",-0.3699,0.55,47.6821,4
"10003",1.2741,0.68,64.2431,2.5
"10004",0.5498,0.1,49.269,3.5
"10005",0.1495,0.1,62.5897,2.5
"10006",1.0639,1.23,58.1268,3
"10007",-0.43,0.1,49.496,2
"10008",1.5144,-1.41,54.6249,3
"10010",0.0451,1.62,63.7986,4
"10011",1.2058,1.34,56.5005,2.5
"10012",2.4996,0.51,67.6823,4
"10013",2.5668,1.62,66.6624,3
"10016",0.0686,0.1,63.3795,2.5
"10018",1.3989,0.1,63.9808,3.5
"10019",-0.0106,1.62,53.8914,3
"10020",-0.2746,-0.97,48.4647,2
"10021",0.4235,0.49,54.1491,3
"10022",1.4372,0.78,57.9257,3.5
"10024",0.1402,-0.17,56.238,2.5
"10025",-0.1901,0.1,37.7725,0.5
"10026",1.1142,0.16,66.894,3.5
"10030",1.5809,-0.17,70.8013,3
"10037",0.5238,0.1,62.7847,4
"10039",0.6753,1.62,65.5911,3.5
"10041",-0.7046,-7,33.5529,2
"10042",-0.0821,-2.92,46.8918,0.25
"10046",-0.1707,0.1,47.4921,1.5
"10049",0.3972,1.62,62.5559,4
"10050",-1.1012,1.62,31.7241,2
"10053",0.9842,-0.17,54.806,1
"10054",-0.2606,-0.58,48.8039,2
"10055",1.4132,1.62,69.24,3.5
"10058",0.5511,-0.29,54.9576,2.5
"10060",-0.0058,1.34,55.0993,2
"10061",1.165,0.1,64.4295,3.5
"10062",-0.7022,0.1,48.5401,2.5
"10064",-0.1112,0.94,50.3536,3
"10066",-0.3694,-1.02,43.6624,1
"10068",-0.0872,0.95,50.2947,2.5
"10069",1.6587,-1.02,54.8354,3.5
"10070",2.0218,-9,61.1801,3
"10071",-0.2749,-1.41,48.5055,1
"10072",-0.0998,-0.17,43.2763,2.5
"10074",-0.2813,-0.75,49.3308,1
"10075",-0.231,-0.17,49.573,2.5
"10077",-0.5803,0.55,53.9985,3
"10080",0.2028,-0.58,38.6225,2
"10085",-0.2902,-0.58,45.2292,2
"10087",-0.9782,1.34,55.8121,2
"10088",0.3647,0.55,49.7352,3
"10089",0.984,-7,39.5401,1.5
"10090",-0.0322,0.22,50.1433,2.5
"10093",-0.1513,0.1,49.5211,2.5
"10094",1.7567,-0.56,63.2917,4
"10095",0.122,0.94,67.7484,3.5
"10097",0.9349,1.34,53.6645,2
"10100",-0.1266,-2.48,42.3864,1.5
"10105",1.0498,0.55,63.0972,3.5
"10106",-0.4907,0.1,57.5439,3
"10109",0.0876,-0.61,38.1072,1.5
"10110",0.5598,1.62,61.6932,3.5
"10111",-0.6659,-1.14,30.5673,0.25
"10115",-0.0649,0.1,58.8679,2
"10116",-0.4728,0.1,58.4891,2
"10117",0.2802,-7,60.5147,3
"10119",-1.0862,-1.41,38.2736,2
"10120",-0.7924,0.55,47.6869,2
"10121",-0.7549,0.1,34.2949,1.5
"10122",0.2871,1.62,56.3244,3.5
"10124",0.3555,0.1,49.2027,2.5
"10126",0.3709,-0.69,33.7073,1
"10130",-0.7751,-0.97,40.3799,3.5
"10131",0.5592,1.62,75.5809,4
"10132",0.3202,-0.17,57.4303,3
"10133",-1.1259,0.1,57.9203,0.5
"10135",0.2157,-0.17,37.6012,0.5
"10137",-0.4726,-0.17,55.5352,1.5
"10139",-0.0593,0.1,51.0166,0.5
"10141",-0.6333,-2.04,46.7809,0.25
"10142",-0.9297,0.02,34.6057,0.5
"10143",1.0303,-7,60.7838,3.5
"10145",0.0676,-7,47.3269,2.5
"10146",0.1079,0.1,40.5263,0.5
"10147",-0.2751,1.62,56.2965,2
"10148",-0.7937,-9,43.1023,0.25
"10149",0.101,0.1,49.4672,2
